symbol,name,type,region,
601636,旗滨集团,stock,sh,
601965,中国汽研,stock,sh,
600361,创新新材,stock,sh,
688213,思特威,stock,sh,
600516,方大炭素,stock,sh,
600927,永安期货,stock,sh,
601858,中国科传,stock,sh,
600763,通策医疗,stock,sh,
601997,贵阳银行,stock,sh,
600095,湘财股份,stock,sh,
601921,浙版传媒,stock,sh,
601128,常熟银行,stock,sh,
600325,华发股份,stock,sh,
600521,华海药业,stock,sh,
601608,中信重工,stock,sh,
601016,节能风电,stock,sh,
600808,马钢股份,stock,sh,
688390,固德威,stock,sh,
688361,中科飞测,stock,sh,
600143,金发科技,stock,sh,
601038,一拖股份,stock,sh,
603565,中谷物流,stock,sh,
600312,平高电气,stock,sh,
603858,步长制药,stock,sh,
603505,金石资源,stock,sh,
600126,杭钢股份,stock,sh,
603477,巨星农牧,stock,sh,
601702,华峰铝业,stock,sh,
688276,百克生物,stock,sh,
600129,太极集团,stock,sh,
601811,新华文轩,stock,sh,
601106,中国一重,stock,sh,
688520,神州细胞,stock,sh,
603129,春风动力,stock,sh,
600916,中国黄金,stock,sh,
600602,云赛智联,stock,sh,
688172,燕东微,stock,sh,
601326,秦港股份,stock,sh,
600339,中油工程,stock,sh,
603712,七一二,stock,sh,
603707,健友股份,stock,sh,
600320,振华重工,stock,sh,
600675,中华企业,stock,sh,
600271,航天信息,stock,sh,
688192,迪哲医药,stock,sh,
600559,老白干酒,stock,sh,
603556,海兴电力,stock,sh,
688676,金盘科技,stock,sh,
600777,ST新潮,stock,sh,
601568,北元集团,stock,sh,
603883,老百姓,stock,sh,
600416,湘电股份,stock,sh,
688002,睿创微纳,stock,sh,
600208,衢州发展,stock,sh,
603027,千禾味业,stock,sh,
600562,国睿科技,stock,sh,
600032,浙江新能,stock,sh,
600392,盛和资源,stock,sh,
600933,爱柯迪,stock,sh,
688100,威胜信息,stock,sh,
688521,芯原股份,stock,sh,
605090,九丰能源,stock,sh,
603871,嘉友国际,stock,sh,
603737,三棵树,stock,sh,
688639,华恒生物,stock,sh,
600528,中铁工业,stock,sh,
603228,景旺电子,stock,sh,
600383,金地集团,stock,sh,
603613,国联股份,stock,sh,
601375,中原证券,stock,sh,
688366,昊海生科,stock,sh,
601975,招商南油,stock,sh,
603185,弘元绿能,stock,sh,
688281,华秦科技,stock,sh,
688220,翱捷科技,stock,sh,
688147,微导纳米,stock,sh,
600056,中国医药,stock,sh,
600258,首旅酒店,stock,sh,
688428,诺诚健华,stock,sh,
600155,华创云信,stock,sh,
688248,南网科技,stock,sh,
600006,东风股份,stock,sh,
603927,中科软,stock,sh,
603456,九洲药业,stock,sh,
688063,派能科技,stock,sh,
600755,厦门国贸,stock,sh,
603650,彤程新材,stock,sh,
601801,皖新传媒,stock,sh,
600726,华电能源,stock,sh,
600123,兰花科创,stock,sh,
603056,德邦股份,stock,sh,
600827,百联股份,stock,sh,
600761,安徽合力,stock,sh,
600422,昆药集团,stock,sh,
601107,四川成渝,stock,sh,
600959,江苏有线,stock,sh,
600739,辽宁成大,stock,sh,
688333,铂力特,stock,sh,
601369,陕鼓动力,stock,sh,
600859,王府井,stock,sh,
688772,珠海冠宇,stock,sh,
688016,心脉医疗,stock,sh,
603033,三维股份,stock,sh,
601949,中国出版,stock,sh,
600877,电科芯片,stock,sh,
600764,中国海防,stock,sh,
688702,盛科通信,stock,sh,
688198,佰仁医疗,stock,sh,
600750,江中药业,stock,sh,
600331,宏达股份,stock,sh,
603283,赛腾股份,stock,sh,
603997,继峰股份,stock,sh,
600928,西安银行,stock,sh,
600057,厦门象屿,stock,sh,
605358,立昂微,stock,sh,
